SEZIONE,pd_votes,pd_share,top10_preferenze,tipo
16,64,0.16976127320954906,1. SABRINA ALFONSI (8) | 2. MAURIZIO VELOCCIA (4) | 3. ELEONORA GRIMALDI (3) | 4. CARLA CONSUELO FERMARIELLO (2) | 5. RICCARDO CORBUCCI (2) | 6. UBALDO RIGHETTI (2) | 7. VALERIA BAGLIO (2) | 8. ANTONIO CIANCIO (1) | 9. DARIO MARCUCCI (1) | 10. GIAMMARCO PALMIERI (1),comune_2021
17,77,0.16488222698072805,1. SABRINA ALFONSI (15) | 2. MAURIZIO VELOCCIA (10) | 3. ERICA BATTAGLIA (4) | 4. MONICA MORICONI (4) | 5. GIAMMARCO PALMIERI (3) | 6. GIOVANNI ZANNOLA (2) | 7. GIULIA TEMPESTA (2) | 8. JULIAN COLABELLO (2) | 9. VALERIA BAGLIO (2) | 10. CLAUDIA PAPPATA' (1),comune_2021
18,50,0.16339869281045752,1. MAURIZIO VELOCCIA (7) | 2. SABRINA ALFONSI (7) | 3. LORENZO MARINONE (3) | 4. DARIO MARCUCCI (2) | 5. MONICA MORICONI (2) | 6. SVETLANA CELLI (2) | 7. ANDREA ALEMANNI (1) | 8. ANTONIO STAMPETE (1) | 9. CARLA CONSUELO FERMARIELLO (1) | 10. CLAUDIA PAPPATA' (1),comune_2021
19,32,0.13278008298755187,1. SABRINA ALFONSI (10) | 2. MAURIZIO VELOCCIA (6) | 3. ANDREA ALEMANNI (1) | 4. ANTONELLA MELITO (1) | 5. ANTONIO STAMPETE (1) | 6. GIAMMARCO PALMIERI (1) | 7. GIULIA TEMPESTA (1) | 8. LORENZO MARINONE (1) | 9. MARIANO ANGELUCCI (1) | 10. RICCARDO CORBUCCI (1),comune_2021
20,54,0.12385321100917432,1. SABRINA ALFONSI (7) | 2. ANTONELLA MELITO (3) | 3. CARLA CONSUELO FERMARIELLO (3) | 4. FABRIZIO RUFO (3) | 5. MAURIZIO VELOCCIA (3) | 6. UBALDO RIGHETTI (2) | 7. OLIMPIA TROILI (1) | 8. PIERO SANDULLI (1) | 9. YURI TROMBETTI (1) | 10. ALESSANDRO LEPIDINI (0),comune_2021
21,90,0.1859504132231405,1. SABRINA ALFONSI (15) | 2. YURI TROMBETTI (10) | 3. SVETLANA CELLI (4) | 4. ANDREA ALEMANNI (3) | 5. STEFANO MARONGIU (3) | 6. CLAUDIO PARAVATI (2) | 7. ELEONORA GRIMALDI (2) | 8. MARIANO ANGELUCCI (2) | 9. CARLA CONSUELO FERMARIELLO (1) | 10. CRISTINA MICHETELLI (1),comune_2021
22,87,0.18049792531120332,1. SABRINA ALFONSI (10) | 2. MAURIZIO VELOCCIA (5) | 3. YURI TROMBETTI (4) | 4. LORENZO MARINONE (2) | 5. MARIANO ANGELUCCI (2) | 6. ANTONIO CIANCIO (1) | 7. CLAUDIO PARAVATI (1) | 8. CRISTINA MICHETELLI (1) | 9. ERICA BATTAGLIA (1) | 10. GIOVANNI ZANNOLA (1),comune_2021
23,49,0.14759036144578314,1. SABRINA ALFONSI (5) | 2. MAURIZIO VELOCCIA (4) | 3. MASSIMO DE SIMONI (2) | 4. NELLA CONVERTI (2) | 5. YIFAN LIN (2) | 6. YURI TROMBETTI (2) | 7. CARLA CONSUELO FERMARIELLO (1) | 8. GIULIA TEMPESTA (1) | 9. ILARIA PICCOLO (1) | 10. MARIANO ANGELUCCI (1),comune_2021
24,45,0.12569832402234637,1. EDMOND GODO (7) | 2. MAURIZIO VELOCCIA (7) | 3. GIULIA TEMPESTA (6) | 4. SABRINA ALFONSI (6) | 5. CRISTINA MICHETELLI (4) | 6. CARLA CONSUELO FERMARIELLO (2) | 7. GIOVANNI CRISANTI (1) | 8. JULIAN COLABELLO (1) | 9. PIERO SANDULLI (1) | 10. ALESSANDRO LEPIDINI (0),comune_2021
25,96,0.1643835616438356,1. RICCARDO CORBUCCI (14) | 2. GIULIA TEMPESTA (12) | 3. ANDREA ALEMANNI (2) | 4. EDMOND GODO (2) | 5. GIOVANNI ZANNOLA (2) | 6. MAURIZIO VELOCCIA (2) | 7. NELLA CONVERTI (2) | 8. CRISTINA MICHETELLI (1) | 9. DANIELE PARRUCCI (1) | 10. FABRIZIO RUFO (1),comune_2021
