SEZIONE,coalition_votes,coalition_share,pd_votes,top10_pd,roma_futura_votes,top10_roma_futura,tipo
75,196,0.3691148775894539,138,1. SIMONA SORTINO (59) | 2. MATTEO PIETROSANTE (8) | 3. FILIPPO MARIA LAGUZZI (7) | 4. NASTASSJA HABDANK (6) | 5. CESARE ALFIDI (3) | 6. FEDERICA RAMPINI (3) | 7. ROBERTO CASAMENTO (3) | 8. ANTONIO COMITO (2) | 9. MARIA ANTONIETTA DEL MORO (2) | 10. MARIA TERESA ELLUL (2),58,1. CHRISTIAN RAIMO (13) | 2. MATTEO ZOCCHI (8) | 3. MARIA CONCETTA ROMANO (5) | 4. MARTINA TESTA (4) | 5. CHIARA CENTAMORI (3) | 6. GIOVANNI RUOCCO (3) | 7. STEFANO SAMPAOLO (3) | 8. FRANCESCA FARCHI (2) | 9. GIULIA FERRARA (1) | 10. MARIA CRISTINA PANI (1),municipio3_2021
76,143,0.2894736842105263,105,1. SIMONA SORTINO (16) | 2. MATTEO PIETROSANTE (8) | 3. NASTASSJA HABDANK (7) | 4. FEDERICA RAMPINI (3) | 5. FILIPPO MARIA LAGUZZI (3) | 6. LUIGI MAIO (3) | 7. CESARE ALFIDI (1) | 8. FRANCESCO MANCINO (1) | 9. ITALO DELLA BELLA (1) | 10. MARIA TERESA ELLUL (1),38,1. CHRISTIAN RAIMO (9) | 2. MATTEO ZOCCHI (6) | 3. MARIA CONCETTA ROMANO (5) | 4. FRANCESCA FARCHI (2) | 5. MARIA LUCIA CERABONA (2) | 6. ANNA LODESERTO (1) | 7. MARTINA TESTA (1) | 8. STEFANO SAMPAOLO (1) | 9. VALERIO BONANNI (1) | 10. ALESSANDRO TADDEI (0),municipio3_2021
77,210,0.3553299492385787,131,1. LORENZO SPIZZICHINO (11) | 2. SIMONA SORTINO (10) | 3. NASTASSJA HABDANK (9) | 4. ROBERTO CASAMENTO (9) | 5. PAOLA CAVALIERI (6) | 6. FEDERICA RAMPINI (4) | 7. FILIPPO MARIA LAGUZZI (4) | 8. NICOLETTA FUNGHI (3) | 9. MARIA ANTONIETTA DEL MORO (2) | 10. MIRKO MANFRE' (2),79,1. STEFANO SAMPAOLO (15) | 2. FRANCESCA FARCHI (11) | 3. CHRISTIAN RAIMO (9) | 4. MATTEO ZOCCHI (9) | 5. GIOVANNI RUOCCO (5) | 6. MARTINA TESTA (3) | 7. MARIA CONCETTA ROMANO (2) | 8. ANNA LODESERTO (1) | 9. GIULIA FERRARA (1) | 10. ISABELLA BOARI (1),municipio3_2021
78,112,0.28354430379746837,87,1. NASTASSJA HABDANK (6) | 2. MATTEO PIETROSANTE (5) | 3. SIMONA SORTINO (4) | 4. FEDERICA RAMPINI (3) | 5. LUIGI MAIO (3) | 6. ANTONIO COMITO (1) | 7. CESARE ALFIDI (1) | 8. FILIPPO MARIA LAGUZZI (1) | 9. LORENZO SPIZZICHINO (1) | 10. NICOLETTA FUNGHI (1),25,1. MATTEO ZOCCHI (8) | 2. CHRISTIAN RAIMO (4) | 3. MARIA CONCETTA ROMANO (3) | 4. FRANCESCA FARCHI (2) | 5. STEFANO SAMPAOLO (2) | 6. ALESSANDRO TADDEI (1) | 7. ANNA LODESERTO (1) | 8. MARIA LUCIA CERABONA (1) | 9. VALERIO BONANNI (1) | 10. ANTONIO FABRIZI (0),municipio3_2021
79,96,0.2318840579710145,70,1. NASTASSJA HABDANK (8) | 2. MATTEO PIETROSANTE (7) | 3. FILIPPO MARIA LAGUZZI (3) | 4. SIMONA SORTINO (3) | 5. FEDERICA RAMPINI (2) | 6. CESARE ALFIDI (1) | 7. FRANCESCO MANCINO (1) | 8. ITALO DELLA BELLA (1) | 9. LORENZO SPIZZICHINO (1) | 10. LUIGI MAIO (1),26,1. MATTEO ZOCCHI (8) | 2. CHRISTIAN RAIMO (6) | 3. MARTINA TESTA (4) | 4. MARIA CONCETTA ROMANO (3) | 5. ANNA LODESERTO (2) | 6. ISABELLA BOARI (1) | 7. MARIA LUCIA CERABONA (1) | 8. ALESSANDRO TADDEI (0) | 9. ANTONIO FABRIZI (0) | 10. CHIARA CALLINI (0),municipio3_2021
80,112,0.29396325459317585,87,1. ITALO DELLA BELLA (8) | 2. LUIGI MAIO (5) | 3. MATTEO PIETROSANTE (5) | 4. NASTASSJA HABDANK (4) | 5. SIMONA SORTINO (4) | 6. CESARE ALFIDI (2) | 7. LORENZO SPIZZICHINO (2) | 8. MARIA ANTONIETTA DEL MORO (2) | 9. NICOLETTA FUNGHI (2) | 10. PAOLA CAVALIERI (2),25,1. CHRISTIAN RAIMO (6) | 2. MATTEO ZOCCHI (5) | 3. FRANCESCA FARCHI (4) | 4. MARTINA TESTA (3) | 5. ANNA LODESERTO (2) | 6. CHIARA CALLINI (2) | 7. CHIARA CENTAMORI (2) | 8. MARIA CONCETTA ROMANO (2) | 9. STEFANO SAMPAOLO (2) | 10. GIULIA FERRARA (1),municipio3_2021
81,150,0.3232758620689655,102,1. ANTONIO COMITO (0) | 2. CESARE ALFIDI (0) | 3. FEDERICA RAMPINI (0) | 4. FILIPPO MARIA LAGUZZI (0) | 5. FRANCESCO MANCINO (0) | 6. GABRIELE CARRADORI (0) | 7. GABRIELE MICHELI (0) | 8. ITALO DELLA BELLA (0) | 9. LORENZO SPIZZICHINO (0) | 10. LUIGI MAIO (0),48,1. ALESSANDRO TADDEI (0) | 2. ANNA LODESERTO (0) | 3. ANTONIO FABRIZI (0) | 4. CHIARA CALLINI (0) | 5. CHIARA CENTAMORI (0) | 6. CHRISTIAN RAIMO (0) | 7. ENRICA LEO (0) | 8. FRANCESCA FARCHI (0) | 9. FRANCESCO LATRONICO (0) | 10. GIOVANNI RUOCCO (0),municipio3_2021
82,161,0.323943661971831,110,1. NICOLETTA FUNGHI (11) | 2. SIMONA SORTINO (10) | 3. GABRIELE CARRADORI (6) | 4. MATTEO PIETROSANTE (4) | 5. NASTASSJA HABDANK (4) | 6. ROBERTO CASAMENTO (2) | 7. FEDERICA RAMPINI (1) | 8. FILIPPO MARIA LAGUZZI (1) | 9. LORENZO SPIZZICHINO (1) | 10. PAOLA CAVALIERI (1),51,1. MATTEO ZOCCHI (12) | 2. FRANCESCA FARCHI (8) | 3. CHRISTIAN RAIMO (7) | 4. STEFANO SAMPAOLO (6) | 5. ALESSANDRO TADDEI (4) | 6. MARIA CONCETTA ROMANO (3) | 7. MARIA CRISTINA PANI (3) | 8. CHIARA CALLINI (2) | 9. GIULIA FERRARA (2) | 10. MARIA LUCIA CERABONA (2),municipio3_2021
83,175,0.31645569620253167,103,1. NICOLETTA FUNGHI (7) | 2. SIMONA SORTINO (7) | 3. NASTASSJA HABDANK (6) | 4. PAOLA CAVALIERI (6) | 5. FEDERICA RAMPINI (4) | 6. FILIPPO MARIA LAGUZZI (4) | 7. LORENZO SPIZZICHINO (4) | 8. MATTEO PIETROSANTE (4) | 9. MARIA TERESA ELLUL (2) | 10. MONICA MAGGI (2),72,1. MATTEO ZOCCHI (12) | 2. CHRISTIAN RAIMO (10) | 3. FRANCESCA FARCHI (9) | 4. GIOVANNI RUOCCO (9) | 5. STEFANO SAMPAOLO (6) | 6. ANNA LODESERTO (5) | 7. MARIA CONCETTA ROMANO (3) | 8. MARTINA TESTA (3) | 9. ANTONIO FABRIZI (2) | 10. MARIA CRISTINA PANI (1),municipio3_2021
84,149,0.32891832229580575,112,1. MATTEO PIETROSANTE (7) | 2. ROBERTO CASAMENTO (7) | 3. NASTASSJA HABDANK (6) | 4. FEDERICA RAMPINI (5) | 5. FILIPPO MARIA LAGUZZI (5) | 6. CESARE ALFIDI (4) | 7. LORENZO SPIZZICHINO (4) | 8. PAOLA CAVALIERI (4) | 9. SILVIA DE ROSA (3) | 10. MARIA TERESA ELLUL (2),37,1. MARIA CONCETTA ROMANO (7) | 2. MATTEO ZOCCHI (6) | 3. CHRISTIAN RAIMO (5) | 4. CHIARA CALLINI (4) | 5. ALESSANDRO TADDEI (3) | 6. GIULIA FERRARA (3) | 7. ANNA LODESERTO (1) | 8. GIOVANNI RUOCCO (1) | 9. ANTONIO FABRIZI (0) | 10. CHIARA CENTAMORI (0),municipio3_2021
