SEZIONE,coalition_votes,coalition_share,pd_votes,top10_pd,roma_futura_votes,top10_roma_futura,tipo
343,76,0.20105820105820105,61,1. ANDREA ALEMANNI (2) | 2. ELEONORA GRIMALDI (2) | 3. MAURIZIO VELOCCIA (2) | 4. ERICA BATTAGLIA (1) | 5. GIOVANNI ZANNOLA (1) | 6. Lucia Lidia GUZMAN (1) | 7. MARIANO ANGELUCCI (1) | 8. SABRINA ALFONSI (1) | 9. SVETLANA CELLI (1) | 10. VALERIA BAGLIO (1),15,1. GIOVANNI CAUDO (8) | 2. CLAUDIA PRATELLI (4) | 3. NICOLA CERABONA (2) | 4. MARTINA TESTA (1) | 5. ALESSANDRA LATERZA (0) | 6. ALESSANDRA QUATTROCCHI (0) | 7. ANNA LODESERTO (0) | 8. DANIELA PATTI (0) | 9. DANIELE MANCINI (0) | 10. DAVIDE GROSSI (0),comune_2021
344,82,0.1957040572792363,72,1. ANTONELLA MELITO (3) | 2. GIULIA TEMPESTA (3) | 3. MASSIMO DE SIMONI (3) | 4. NELLA CONVERTI (3) | 5. RICCARDO CORBUCCI (3) | 6. ANTONIO STAMPETE (2) | 7. CLAUDIA PAPPATA' (2) | 8. DANIELE PARRUCCI (2) | 9. ERICA BATTAGLIA (2) | 10. GIAMMARCO PALMIERI (2),10,1. GIOVANNI CAUDO (3) | 2. CLAUDIA PRATELLI (2) | 3. DANIELA PATTI (1) | 4. TIZIANA BIOLGHINI (1) | 5. VALERIO BONANNI (1) | 6. ALESSANDRA LATERZA (0) | 7. ALESSANDRA QUATTROCCHI (0) | 8. ANNA LODESERTO (0) | 9. DANIELE MANCINI (0) | 10. DAVIDE GROSSI (0),comune_2021
345,104,0.2379862700228833,80,1. ERICA BATTAGLIA (5) | 2. SVETLANA CELLI (5) | 3. ANDREA ALEMANNI (3) | 4. GIAMMARCO PALMIERI (3) | 5. MAURIZIO VELOCCIA (2) | 6. SABRINA ALFONSI (2) | 7. GIULIA TEMPESTA (1) | 8. RICCARDO CORBUCCI (1) | 9. UBALDO RIGHETTI (1) | 10. ALESSANDRO LEPIDINI (0),24,1. GIOVANNI CAUDO (8) | 2. TIZIANA BIOLGHINI (8) | 3. CLAUDIA PRATELLI (7) | 4. NICOLA CERABONA (3) | 5. VALERIO BONANNI (2) | 6. ALESSANDRA LATERZA (0) | 7. ALESSANDRA QUATTROCCHI (0) | 8. ANNA LODESERTO (0) | 9. DANIELA PATTI (0) | 10. DANIELE MANCINI (0),comune_2021
346,60,0.18126888217522658,52,1. RICCARDO CORBUCCI (7) | 2. SABRINA ALFONSI (6) | 3. GIULIA TEMPESTA (5) | 4. GIAMMARCO PALMIERI (3) | 5. MAURIZIO VELOCCIA (3) | 6. CARLA CONSUELO FERMARIELLO (2) | 7. UBALDO RIGHETTI (2) | 8. ANTONELLA MELITO (1) | 9. FABRIZIO RUFO (1) | 10. GIOVANNI CRISANTI (1),8,1. GIOVANNI CAUDO (4) | 2. NICOLA CERABONA (2) | 3. ALESSANDRA LATERZA (0) | 4. ALESSANDRA QUATTROCCHI (0) | 5. ANNA LODESERTO (0) | 6. CLAUDIA PRATELLI (0) | 7. DANIELA PATTI (0) | 8. DANIELE MANCINI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
347,136,0.27530364372469635,117,1. RICCARDO CORBUCCI (8) | 2. ERICA BATTAGLIA (6) | 3. GIULIA TEMPESTA (4) | 4. MAURIZIO VELOCCIA (3) | 5. SABRINA ALFONSI (3) | 6. GIAMMARCO PALMIERI (2) | 7. UBALDO RIGHETTI (2) | 8. YURI TROMBETTI (2) | 9. ANDREA ALEMANNI (1) | 10. CARLA CONSUELO FERMARIELLO (1),19,1. GIOVANNI CAUDO (9) | 2. CLAUDIA PRATELLI (3) | 3. DANIELA PATTI (1) | 4. NICOLA CERABONA (1) | 5. PAOLO LECCESE (1) | 6. ROSSANA BASSI (1) | 7. ALESSANDRA LATERZA (0) | 8. ALESSANDRA QUATTROCCHI (0) | 9. ANNA LODESERTO (0) | 10. DANIELE MANCINI (0),comune_2021
348,138,0.36220472440944884,108,1. RICCARDO CORBUCCI (13) | 2. GIULIA TEMPESTA (8) | 3. ERICA BATTAGLIA (5) | 4. MAURIZIO VELOCCIA (3) | 5. SABRINA ALFONSI (3) | 6. CRISTINA MICHETELLI (2) | 7. NELLA CONVERTI (2) | 8. ANDREA ALEMANNI (1) | 9. CLAUDIA PAPPATA' (1) | 10. DANIELE PARRUCCI (1),30,1. GIOVANNI CAUDO (16) | 2. TIZIANA BIOLGHINI (5) | 3. CLAUDIA PRATELLI (1) | 4. FRANCESCA TOLINO (1) | 5. NICOLA CERABONA (1) | 6. ALESSANDRA LATERZA (0) | 7. ALESSANDRA QUATTROCCHI (0) | 8. ANNA LODESERTO (0) | 9. DANIELA PATTI (0) | 10. DANIELE MANCINI (0),comune_2021
349,101,0.21398305084745764,89,1. RICCARDO CORBUCCI (8) | 2. GIULIA TEMPESTA (5) | 3. NELLA CONVERTI (4) | 4. MARIANO ANGELUCCI (2) | 5. ROCCO STELITANO (2) | 6. SVETLANA CELLI (2) | 7. UBALDO RIGHETTI (2) | 8. VALERIA BAGLIO (2) | 9. ANDREA ALEMANNI (1) | 10. CRISTINA MICHETELLI (1),12,1. GIOVANNI CAUDO (4) | 2. CLAUDIA PRATELLI (1) | 3. NICOLA CERABONA (1) | 4. ALESSANDRA LATERZA (0) | 5. ALESSANDRA QUATTROCCHI (0) | 6. ANNA LODESERTO (0) | 7. DANIELA PATTI (0) | 8. DANIELE MANCINI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
350,33,0.14163090128755365,29,1. NELLA CONVERTI (2) | 2. ERICA BATTAGLIA (1) | 3. STEFANO MARONGIU (1) | 4. UBALDO RIGHETTI (1) | 5. ALESSANDRO LEPIDINI (0) | 6. ANDREA ALEMANNI (0) | 7. ANTONELLA MELITO (0) | 8. ANTONIO CIANCIO (0) | 9. ANTONIO STAMPETE (0) | 10. CARLA CONSUELO FERMARIELLO (0),4,1. CLAUDIA PRATELLI (1) | 2. ALESSANDRA LATERZA (0) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. DANIELA PATTI (0) | 6. DANIELE MANCINI (0) | 7. DAVIDE GROSSI (0) | 8. EMILIANO COFANO (0) | 9. EVA VITTORIA CAMMERINO (0) | 10. FABIO CIPRESSA (0),comune_2021
351,118,0.21532846715328466,100,1. RICCARDO CORBUCCI (18) | 2. GIULIA TEMPESTA (14) | 3. FLAVIA RESTIVO (4) | 4. ANTONIO STAMPETE (2) | 5. CRISTINA MICHETELLI (2) | 6. ERICA BATTAGLIA (2) | 7. SABRINA ALFONSI (2) | 8. CLAUDIA PAPPATA' (1) | 9. FABRIZIO RUFO (1) | 10. GIOVANNI ZANNOLA (1),18,1. GIOVANNI CAUDO (8) | 2. MARTINA TESTA (4) | 3. CLAUDIA PRATELLI (1) | 4. SIMONE SAPIENZA (1) | 5. TIZIANA BIOLGHINI (1) | 6. ALESSANDRA LATERZA (0) | 7. ALESSANDRA QUATTROCCHI (0) | 8. ANNA LODESERTO (0) | 9. DANIELA PATTI (0) | 10. DANIELE MANCINI (0),comune_2021
352,109,0.20566037735849058,85,1. ANDREA ALEMANNI (5) | 2. RICCARDO CORBUCCI (5) | 3. GIULIA TEMPESTA (4) | 4. MARIANO ANGELUCCI (4) | 5. SABRINA ALFONSI (4) | 6. CARLA CONSUELO FERMARIELLO (2) | 7. GIAMMARCO PALMIERI (2) | 8. MASSIMO DE SIMONI (2) | 9. MAURIZIO VELOCCIA (2) | 10. NELLA CONVERTI (2),24,1. GIOVANNI CAUDO (12) | 2. CLAUDIA PRATELLI (9) | 3. TIZIANA BIOLGHINI (3) | 4. DANIELA PATTI (2) | 5. VALERIO BONANNI (2) | 6. NICOLA CERABONA (1) | 7. PAOLO LECCESE (1) | 8. ALESSANDRA LATERZA (0) | 9. ALESSANDRA QUATTROCCHI (0) | 10. ANNA LODESERTO (0),comune_2021
353,74,0.18453865336658354,60,1. GIULIA TEMPESTA (4) | 2. RICCARDO CORBUCCI (4) | 3. SVETLANA CELLI (3) | 4. ANDREA ALEMANNI (2) | 5. OLIMPIA TROILI (2) | 6. ANTONIO STAMPETE (1) | 7. MARIANO ANGELUCCI (1) | 8. NELLA CONVERTI (1) | 9. ALESSANDRO LEPIDINI (0) | 10. ANTONELLA MELITO (0),14,1. NICOLA CERABONA (11) | 2. GIOVANNI CAUDO (5) | 3. CLAUDIA PRATELLI (2) | 4. MARTINA TESTA (2) | 5. VALERIO BONANNI (1) | 6. ALESSANDRA LATERZA (0) | 7. ALESSANDRA QUATTROCCHI (0) | 8. ANNA LODESERTO (0) | 9. DANIELA PATTI (0) | 10. DANIELE MANCINI (0),comune_2021
354,50,0.15673981191222572,47,1. GIAMMARCO PALMIERI (3) | 2. SVETLANA CELLI (3) | 3. MARIANO ANGELUCCI (2) | 4. SABRINA ALFONSI (2) | 5. ANTONIO STAMPETE (1) | 6. DANIELE PARRUCCI (1) | 7. EDMOND GODO (1) | 8. ERICA BATTAGLIA (1) | 9. GIULIA TEMPESTA (1) | 10. RICCARDO CORBUCCI (1),3,1. ALESSANDRA LATERZA (0) | 2. ALESSANDRA QUATTROCCHI (0) | 3. ANNA LODESERTO (0) | 4. CLAUDIA PRATELLI (0) | 5. DANIELA PATTI (0) | 6. DANIELE MANCINI (0) | 7. DAVIDE GROSSI (0) | 8. EMILIANO COFANO (0) | 9. EVA VITTORIA CAMMERINO (0) | 10. FABIO CIPRESSA (0),comune_2021
355,76,0.17511520737327188,59,1. GIULIA TEMPESTA (6) | 2. RICCARDO CORBUCCI (5) | 3. YURI TROMBETTI (2) | 4. ANDREA ALEMANNI (1) | 5. ANTONIO STAMPETE (1) | 6. CARLA CONSUELO FERMARIELLO (1) | 7. DARIO MARCUCCI (1) | 8. ILARIA PICCOLO (1) | 9. JULIAN COLABELLO (1) | 10. MAURIZIO VELOCCIA (1),17,1. GIOVANNI CAUDO (6) | 2. MARTINA TESTA (2) | 3. SUSANNA POLIMANTI (2) | 4. TIZIANA BIOLGHINI (2) | 5. CLAUDIA PRATELLI (1) | 6. MARCO CARLIZZI (1) | 7. ROSSANA BASSI (1) | 8. RUGGERO SCOTTI (1) | 9. VALERIO BONANNI (1) | 10. ALESSANDRA LATERZA (0),comune_2021
356,37,0.15416666666666667,36,1. RICCARDO CORBUCCI (7) | 2. GIULIA TEMPESTA (5) | 3. ANTONIO STAMPETE (2) | 4. CRISTINA MICHETELLI (2) | 5. LORENZO MARINONE (1) | 6. MAURIZIO VELOCCIA (1) | 7. SABRINA ALFONSI (1) | 8. ALESSANDRO LEPIDINI (0) | 9. ANDREA ALEMANNI (0) | 10. ANTONELLA MELITO (0),1,1. GIOVANNI CAUDO (1) | 2. ALESSANDRA LATERZA (0) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. CLAUDIA PRATELLI (0) | 6. DANIELA PATTI (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
357,58,0.14250614250614252,46,1. RICCARDO CORBUCCI (11) | 2. GIULIA TEMPESTA (9) | 3. CRISTINA MICHETELLI (2) | 4. GIAMMARCO PALMIERI (2) | 5. UBALDO RIGHETTI (2) | 6. ANDREA ALEMANNI (1) | 7. GIOVANNI ZANNOLA (1) | 8. SVETLANA CELLI (1) | 9. ALESSANDRO LEPIDINI (0) | 10. ANTONELLA MELITO (0),12,1. MARIA ASSUNTA VITELLI (3) | 2. MARCO TRIMALDI (2) | 3. FLORESTANO PASTORE (1) | 4. GIOVANNI CAUDO (1) | 5. TIZIANA BIOLGHINI (1) | 6. ALESSANDRA LATERZA (0) | 7. ALESSANDRA QUATTROCCHI (0) | 8. ANNA LODESERTO (0) | 9. CLAUDIA PRATELLI (0) | 10. DANIELA PATTI (0),comune_2021
358,89,0.166044776119403,75,1. RICCARDO CORBUCCI (12) | 2. GIULIA TEMPESTA (11) | 3. ANDREA ALEMANNI (4) | 4. LORENZO MARINONE (4) | 5. MAURIZIO VELOCCIA (3) | 6. ANTONELLA MELITO (2) | 7. NELLA CONVERTI (2) | 8. ANTONIO STAMPETE (1) | 9. DANIELE PARRUCCI (1) | 10. MARIANO ANGELUCCI (1),14,1. GIOVANNI CAUDO (3) | 2. ALESSANDRA LATERZA (0) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. CLAUDIA PRATELLI (0) | 6. DANIELA PATTI (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
359,59,0.14713216957605985,56,1. GIULIA TEMPESTA (11) | 2. RICCARDO CORBUCCI (10) | 3. ANDREA ALEMANNI (3) | 4. SVETLANA CELLI (3) | 5. CLAUDIO PARAVATI (1) | 6. ALESSANDRO LEPIDINI (0) | 7. ANTONELLA MELITO (0) | 8. ANTONIO CIANCIO (0) | 9. ANTONIO STAMPETE (0) | 10. CARLA CONSUELO FERMARIELLO (0),3,1. CLAUDIA PRATELLI (1) | 2. MARCO TRIMALDI (1) | 3. MARIA ASSUNTA VITELLI (1) | 4. ALESSANDRA LATERZA (0) | 5. ALESSANDRA QUATTROCCHI (0) | 6. ANNA LODESERTO (0) | 7. DANIELA PATTI (0) | 8. DANIELE MANCINI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
360,51,0.10344827586206896,44,1. GIULIA TEMPESTA (3) | 2. RICCARDO CORBUCCI (3) | 3. SVETLANA CELLI (2) | 4. YURI TROMBETTI (2) | 5. ANDREA ALEMANNI (1) | 6. CLAUDIA PAPPATA' (1) | 7. CRISTINA MICHETELLI (1) | 8. GIAMMARCO PALMIERI (1) | 9. MAURIZIO VELOCCIA (1) | 10. NELLA CONVERTI (1),7,1. GIOVANNI CAUDO (2) | 2. ALESSANDRA LATERZA (0) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. CLAUDIA PRATELLI (0) | 6. DANIELA PATTI (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
361,75,0.18337408312958436,55,1. LORENZO MARINONE (2) | 2. OLIMPIA TROILI (2) | 3. ANDREA ALEMANNI (1) | 4. CRISTINA MICHETELLI (1) | 5. GIULIA TEMPESTA (1) | 6. MARIANO ANGELUCCI (1) | 7. MAURIZIO VELOCCIA (1) | 8. PIERO SANDULLI (1) | 9. RICCARDO CORBUCCI (1) | 10. SABRINA ALFONSI (1),20,1. GIOVANNI CAUDO (15) | 2. CLAUDIA PRATELLI (5) | 3. TIZIANA BIOLGHINI (5) | 4. ALESSANDRA LATERZA (0) | 5. ALESSANDRA QUATTROCCHI (0) | 6. ANNA LODESERTO (0) | 7. DANIELA PATTI (0) | 8. DANIELE MANCINI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
362,69,0.14526315789473684,58,1. GIULIA TEMPESTA (7) | 2. RICCARDO CORBUCCI (7) | 3. CRISTINA MICHETELLI (4) | 4. STEFANO MARONGIU (4) | 5. SABRINA ALFONSI (3) | 6. CLAUDIA PAPPATA' (2) | 7. GIAMMARCO PALMIERI (2) | 8. VALERIA BAGLIO (2) | 9. ANTONIO STAMPETE (1) | 10. DANIELE PARRUCCI (1),11,1. GIOVANNI CAUDO (6) | 2. CLAUDIA PRATELLI (3) | 3. ALESSANDRA LATERZA (0) | 4. ALESSANDRA QUATTROCCHI (0) | 5. ANNA LODESERTO (0) | 6. DANIELA PATTI (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
363,63,0.13725490196078433,53,1. MAURIZIO VELOCCIA (6) | 2. SABRINA ALFONSI (4) | 3. SVETLANA CELLI (4) | 4. GIULIA TEMPESTA (3) | 5. RICCARDO CORBUCCI (3) | 6. ANDREA ALEMANNI (2) | 7. CARLA CONSUELO FERMARIELLO (2) | 8. MARIANO ANGELUCCI (2) | 9. ANTONIO STAMPETE (1) | 10. CRISTINA MICHETELLI (1),10,1. GIOVANNI CAUDO (6) | 2. CLAUDIA PRATELLI (3) | 3. ISABELLA BORRELLI (1) | 4. ALESSANDRA LATERZA (0) | 5. ALESSANDRA QUATTROCCHI (0) | 6. ANNA LODESERTO (0) | 7. DANIELA PATTI (0) | 8. DANIELE MANCINI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
364,64,0.18181818181818182,43,1. ANDREA ALEMANNI (2) | 2. CRISTINA MICHETELLI (2) | 3. FABRIZIO RUFO (2) | 4. MAURIZIO VELOCCIA (2) | 5. DARIO MARCUCCI (1) | 6. GIULIA TEMPESTA (1) | 7. MONICA MORICONI (1) | 8. NELLA CONVERTI (1) | 9. RICCARDO CORBUCCI (1) | 10. ROCCO STELITANO (1),21,1. GIOVANNI CAUDO (11) | 2. CLAUDIA PRATELLI (4) | 3. SIMONE SAPIENZA (2) | 4. TIZIANA BIOLGHINI (1) | 5. ALESSANDRA LATERZA (0) | 6. ALESSANDRA QUATTROCCHI (0) | 7. ANNA LODESERTO (0) | 8. DANIELA PATTI (0) | 9. DANIELE MANCINI (0) | 10. DAVIDE GROSSI (0),comune_2021
365,117,0.18571428571428572,100,1. CLAUDIA PAPPATA' (7) | 2. GIAMMARCO PALMIERI (7) | 3. GIULIA TEMPESTA (7) | 4. SVETLANA CELLI (7) | 5. ANDREA ALEMANNI (6) | 6. CRISTINA MICHETELLI (4) | 7. MARIANO ANGELUCCI (3) | 8. RICCARDO CORBUCCI (3) | 9. CARLA CONSUELO FERMARIELLO (2) | 10. FABRIZIO RUFO (2),17,1. GIOVANNI CAUDO (9) | 2. CLAUDIA PRATELLI (3) | 3. MARCO CARLIZZI (1) | 4. ALESSANDRA LATERZA (0) | 5. ALESSANDRA QUATTROCCHI (0) | 6. ANNA LODESERTO (0) | 7. DANIELA PATTI (0) | 8. DANIELE MANCINI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
366,108,0.21862348178137653,79,1. CRISTINA MICHETELLI (6) | 2. CARLA CONSUELO FERMARIELLO (4) | 3. GIOVANNI CRISANTI (4) | 4. SVETLANA CELLI (3) | 5. UBALDO RIGHETTI (3) | 6. VALERIA BAGLIO (3) | 7. MARIANO ANGELUCCI (2) | 8. YURI TROMBETTI (2) | 9. ERICA BATTAGLIA (1) | 10. FABRIZIO RUFO (1),29,1. GIOVANNI CAUDO (14) | 2. CLAUDIA PRATELLI (5) | 3. PAOLO LECCESE (2) | 4. TIZIANA BIOLGHINI (2) | 5. DANIELA PATTI (1) | 6. PAOLA SPINELLI (1) | 7. ALESSANDRA LATERZA (0) | 8. ALESSANDRA QUATTROCCHI (0) | 9. ANNA LODESERTO (0) | 10. DANIELE MANCINI (0),comune_2021
367,71,0.16745283018867924,65,1. STEFANO MARONGIU (4) | 2. DANIELE PARRUCCI (3) | 3. YURI TROMBETTI (2) | 4. ANDREA ALEMANNI (1) | 5. ANTONIO STAMPETE (1) | 6. CARLA CONSUELO FERMARIELLO (1) | 7. CRISTINA MICHETELLI (1) | 8. GIULIA TEMPESTA (1) | 9. MASSIMO DE SIMONI (1) | 10. NELLA CONVERTI (1),6,1. GIOVANNI CAUDO (3) | 2. FRANCESCA TOLINO (1) | 3. SIMONE SAPIENZA (1) | 4. VALERIO BONANNI (1) | 5. ALESSANDRA LATERZA (0) | 6. ALESSANDRA QUATTROCCHI (0) | 7. ANNA LODESERTO (0) | 8. CLAUDIA PRATELLI (0) | 9. DANIELA PATTI (0) | 10. DANIELE MANCINI (0),comune_2021
368,54,0.17880794701986755,48,1. GIULIA TEMPESTA (4) | 2. RICCARDO CORBUCCI (4) | 3. GIAMMARCO PALMIERI (1) | 4. NELLA CONVERTI (1) | 5. STEFANO MARONGIU (1) | 6. YURI TROMBETTI (1) | 7. ALESSANDRO LEPIDINI (0) | 8. ANDREA ALEMANNI (0) | 9. ANTONELLA MELITO (0) | 10. ANTONIO CIANCIO (0),6,1. TIZIANA BIOLGHINI (2) | 2. ALESSANDRA LATERZA (1) | 3. CLAUDIA PRATELLI (1) | 4. GIOVANNI CAUDO (1) | 5. PAOLA SPINELLI (1) | 6. ALESSANDRA QUATTROCCHI (0) | 7. ANNA LODESERTO (0) | 8. DANIELA PATTI (0) | 9. DANIELE MANCINI (0) | 10. DAVIDE GROSSI (0),comune_2021
369,50,0.15625,37,1. ALESSANDRO LEPIDINI (0) | 2. ANDREA ALEMANNI (0) | 3. ANTONELLA MELITO (0) | 4. ANTONIO CIANCIO (0) | 5. ANTONIO STAMPETE (0) | 6. CARLA CONSUELO FERMARIELLO (0) | 7. CLAUDIA PAPPATA' (0) | 8. CLAUDIO PARAVATI (0) | 9. CRISTINA MICHETELLI (0) | 10. DANIELE PARRUCCI (0),13,1. ALESSANDRA LATERZA (0) | 2. ALESSANDRA QUATTROCCHI (0) | 3. ANNA LODESERTO (0) | 4. CLAUDIA PRATELLI (0) | 5. DANIELA PATTI (0) | 6. DANIELE MANCINI (0) | 7. DAVIDE GROSSI (0) | 8. EMILIANO COFANO (0) | 9. EVA VITTORIA CAMMERINO (0) | 10. FABIO CIPRESSA (0),comune_2021
370,35,0.12773722627737227,34,1. DANIELE PARRUCCI (4) | 2. CRISTINA MICHETELLI (3) | 3. CARLA CONSUELO FERMARIELLO (2) | 4. GIULIA TEMPESTA (2) | 5. LORENZO MARINONE (2) | 6. RICCARDO CORBUCCI (2) | 7. PIERO SANDULLI (1) | 8. SVETLANA CELLI (1) | 9. YURI TROMBETTI (1) | 10. ALESSANDRO LEPIDINI (0),1,1. PAOLA SPINELLI (1) | 2. ALESSANDRA LATERZA (0) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. CLAUDIA PRATELLI (0) | 6. DANIELA PATTI (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
371,31,0.11787072243346007,30,1. ERICA BATTAGLIA (2) | 2. SABRINA ALFONSI (2) | 3. UBALDO RIGHETTI (2) | 4. ANDREA ALEMANNI (1) | 5. FLAVIA RESTIVO (1) | 6. GIULIA TEMPESTA (1) | 7. MAURIZIO VELOCCIA (1) | 8. OLIMPIA TROILI (1) | 9. SVETLANA CELLI (1) | 10. YURI TROMBETTI (1),1,1. CLAUDIA PRATELLI (1) | 2. VALERIO BONANNI (1) | 3. ALESSANDRA LATERZA (0) | 4. ALESSANDRA QUATTROCCHI (0) | 5. ANNA LODESERTO (0) | 6. DANIELA PATTI (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
372,55,0.14248704663212436,45,1. RICCARDO CORBUCCI (3) | 2. SVETLANA CELLI (3) | 3. ANDREA ALEMANNI (2) | 4. GIULIA TEMPESTA (2) | 5. CLAUDIA PAPPATA' (1) | 6. GIAMMARCO PALMIERI (1) | 7. MARIA ANGELA BUFALINO (1) | 8. MARIANO ANGELUCCI (1) | 9. MAURIZIO VELOCCIA (1) | 10. NELLA CONVERTI (1),10,1. GIOVANNI CAUDO (4) | 2. SUSANNA POLIMANTI (2) | 3. FRANCESCA MARINA MORPURGO (1) | 4. ISABELLA BOARI (1) | 5. VALERIO BONANNI (1) | 6. ALESSANDRA LATERZA (0) | 7. ALESSANDRA QUATTROCCHI (0) | 8. ANNA LODESERTO (0) | 9. CLAUDIA PRATELLI (0) | 10. DANIELA PATTI (0),comune_2021
373,88,0.16117216117216118,85,1. RICCARDO CORBUCCI (9) | 2. GIULIA TEMPESTA (7) | 3. SABRINA ALFONSI (6) | 4. MAURIZIO VELOCCIA (4) | 5. GIAMMARCO PALMIERI (3) | 6. UBALDO RIGHETTI (3) | 7. CLAUDIA PAPPATA' (2) | 8. CRISTINA MICHETELLI (2) | 9. NELLA CONVERTI (2) | 10. ANTONELLA MELITO (1),3,1. DANIELA PATTI (2) | 2. PAOLO LECCESE (2) | 3. GIOVANNI CAUDO (1) | 4. ALESSANDRA LATERZA (0) | 5. ALESSANDRA QUATTROCCHI (0) | 6. ANNA LODESERTO (0) | 7. CLAUDIA PRATELLI (0) | 8. DANIELE MANCINI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
374,76,0.15605749486652978,73,1. GIULIA TEMPESTA (9) | 2. RICCARDO CORBUCCI (9) | 3. GIAMMARCO PALMIERI (5) | 4. MAURIZIO VELOCCIA (5) | 5. SABRINA ALFONSI (5) | 6. CLAUDIA PAPPATA' (4) | 7. NELLA CONVERTI (3) | 8. ANDREA ALEMANNI (1) | 9. FLAVIA RESTIVO (1) | 10. SVETLANA CELLI (1),3,1. ISABELLA BORRELLI (1) | 2. ALESSANDRA LATERZA (0) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. CLAUDIA PRATELLI (0) | 6. DANIELA PATTI (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
375,40,0.1111111111111111,37,1. GIULIA TEMPESTA (5) | 2. RICCARDO CORBUCCI (5) | 3. ERICA BATTAGLIA (3) | 4. CRISTINA MICHETELLI (2) | 5. DANIELE PARRUCCI (2) | 6. PIERO SANDULLI (2) | 7. SABRINA ALFONSI (2) | 8. SVETLANA CELLI (2) | 9. ANDREA ALEMANNI (1) | 10. FABRIZIO RUFO (1),3,1. MICHELE ZACCONE (1) | 2. ALESSANDRA LATERZA (0) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. CLAUDIA PRATELLI (0) | 6. DANIELA PATTI (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
376,48,0.11566265060240964,45,1. CRISTINA MICHETELLI (3) | 2. YURI TROMBETTI (3) | 3. CARLA CONSUELO FERMARIELLO (2) | 4. MAURIZIO VELOCCIA (2) | 5. OLIMPIA TROILI (2) | 6. ILARIA PICCOLO (1) | 7. PIERO SANDULLI (1) | 8. PIETRO VITTORIO BARBIERI (1) | 9. SABRINA ALFONSI (1) | 10. ALESSANDRO LEPIDINI (0),3,1. CLAUDIA PRATELLI (2) | 2. FRANCESCA TOLINO (1) | 3. SIMONE SAPIENZA (1) | 4. ALESSANDRA LATERZA (0) | 5. ALESSANDRA QUATTROCCHI (0) | 6. ANNA LODESERTO (0) | 7. DANIELA PATTI (0) | 8. DANIELE MANCINI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
