SEZIONE,coalition_votes,coalition_share,pd_votes,top10_pd,roma_futura_votes,top10_roma_futura,tipo
12,76,0.22822822822822822,62,1. SABRINA ALFONSI (12) | 2. MAURIZIO VELOCCIA (6) | 3. FABRIZIO RUFO (4) | 4. MASSIMO DE SIMONI (4) | 5. CARLA CONSUELO FERMARIELLO (3) | 6. ANTONELLA MELITO (2) | 7. ANDREA ALEMANNI (1) | 8. FLAVIA RESTIVO (1) | 9. GIAMMARCO PALMIERI (1) | 10. JULIAN COLABELLO (1),14,1. GIOVANNI CAUDO (7) | 2. FRANCESCA TOLINO (4) | 3. SIMONE SAPIENZA (3) | 4. ALESSANDRA QUATTROCCHI (1) | 5. CLAUDIA PRATELLI (1) | 6. ISABELLA BORRELLI (1) | 7. MARIA ASSUNTA VITELLI (1) | 8. TIZIANA BIOLGHINI (1) | 9. ALESSANDRA LATERZA (0) | 10. ANNA LODESERTO (0),comune_2021
13,96,0.23529411764705882,69,1. SABRINA ALFONSI (14) | 2. MAURIZIO VELOCCIA (10) | 3. ANDREA ALEMANNI (2) | 4. ANTONIO STAMPETE (2) | 5. CARLA CONSUELO FERMARIELLO (2) | 6. CLAUDIA PAPPATA' (2) | 7. YIFAN LIN (2) | 8. ANTONIO CIANCIO (1) | 9. GIAMMARCO PALMIERI (1) | 10. ILARIA PICCOLO (1),27,1. GIOVANNI CAUDO (4) | 2. CLAUDIA PRATELLI (2) | 3. MARTINA TESTA (2) | 4. ALESSANDRA LATERZA (1) | 5. ANNA LODESERTO (1) | 6. DANIELA PATTI (1) | 7. ALESSANDRA QUATTROCCHI (0) | 8. DANIELE MANCINI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
14,147,0.2578947368421053,124,1. SABRINA ALFONSI (35) | 2. MAURIZIO VELOCCIA (26) | 3. FABRIZIO RUFO (4) | 4. MARIANO ANGELUCCI (3) | 5. CARLA CONSUELO FERMARIELLO (2) | 6. CLAUDIA PAPPATA' (2) | 7. CRISTINA MICHETELLI (2) | 8. JULIAN COLABELLO (2) | 9. LORENZO MARINONE (2) | 10. UBALDO RIGHETTI (2),23,1. GIOVANNI CAUDO (9) | 2. MARCO CARLIZZI (2) | 3. PAOLA SPINELLI (2) | 4. SUSANNA POLIMANTI (2) | 5. ALESSANDRA LATERZA (1) | 6. FRANCESCA MARINA MORPURGO (1) | 7. ALESSANDRA QUATTROCCHI (0) | 8. ANNA LODESERTO (0) | 9. CLAUDIA PRATELLI (0) | 10. DANIELA PATTI (0),comune_2021
15,91,0.21666666666666667,73,1. SABRINA ALFONSI (26) | 2. MAURIZIO VELOCCIA (16) | 3. ANTONIO CIANCIO (3) | 4. CARLA CONSUELO FERMARIELLO (3) | 5. ANDREA ALEMANNI (2) | 6. DARIO MARCUCCI (2) | 7. GIAMMARCO PALMIERI (2) | 8. GIOVANNI CRISANTI (2) | 9. MARIANO ANGELUCCI (2) | 10. MASSIMO DE SIMONI (2),18,1. GIOVANNI CAUDO (10) | 2. ROSSANA BASSI (3) | 3. CLAUDIA PRATELLI (2) | 4. ALESSANDRA QUATTROCCHI (1) | 5. EVA VITTORIA CAMMERINO (1) | 6. FRANCESCA MARINA MORPURGO (1) | 7. MARTINA TESTA (1) | 8. SIMONE SAPIENZA (1) | 9. ALESSANDRA LATERZA (0) | 10. ANNA LODESERTO (0),comune_2021
16,78,0.20689655172413793,64,1. SABRINA ALFONSI (8) | 2. MAURIZIO VELOCCIA (4) | 3. ELEONORA GRIMALDI (3) | 4. CARLA CONSUELO FERMARIELLO (2) | 5. RICCARDO CORBUCCI (2) | 6. UBALDO RIGHETTI (2) | 7. VALERIA BAGLIO (2) | 8. ANTONIO CIANCIO (1) | 9. DARIO MARCUCCI (1) | 10. GIAMMARCO PALMIERI (1),14,1. CLAUDIA PRATELLI (3) | 2. DANIELA PATTI (3) | 3. PAOLO LECCESE (3) | 4. FRANCESCA TOLINO (1) | 5. GIAN LUCA RIPARBELLI (1) | 6. GIOVANNI CAUDO (1) | 7. MARTINA TESTA (1) | 8. SIMONE SAPIENZA (1) | 9. ALESSANDRA LATERZA (0) | 10. ALESSANDRA QUATTROCCHI (0),comune_2021
17,92,0.19700214132762311,77,1. SABRINA ALFONSI (15) | 2. MAURIZIO VELOCCIA (10) | 3. ERICA BATTAGLIA (4) | 4. MONICA MORICONI (4) | 5. GIAMMARCO PALMIERI (3) | 6. GIOVANNI ZANNOLA (2) | 7. GIULIA TEMPESTA (2) | 8. JULIAN COLABELLO (2) | 9. VALERIA BAGLIO (2) | 10. CLAUDIA PAPPATA' (1),15,1. GIOVANNI CAUDO (7) | 2. CLAUDIA PRATELLI (2) | 3. FRANCESCA MARINA MORPURGO (2) | 4. ROSSANA BASSI (2) | 5. ALESSANDRA LATERZA (1) | 6. ALESSANDRA QUATTROCCHI (1) | 7. RICCARDO VALENTINI (1) | 8. STANISLAV ALYEKSANDROV (1) | 9. ANNA LODESERTO (0) | 10. DANIELA PATTI (0),comune_2021
18,57,0.18627450980392157,50,1. MAURIZIO VELOCCIA (7) | 2. SABRINA ALFONSI (7) | 3. LORENZO MARINONE (3) | 4. DARIO MARCUCCI (2) | 5. MONICA MORICONI (2) | 6. SVETLANA CELLI (2) | 7. ANDREA ALEMANNI (1) | 8. ANTONIO STAMPETE (1) | 9. CARLA CONSUELO FERMARIELLO (1) | 10. CLAUDIA PAPPATA' (1),7,1. CLAUDIA PRATELLI (2) | 2. ALESSANDRA LATERZA (0) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. DANIELA PATTI (0) | 6. DANIELE MANCINI (0) | 7. DAVIDE GROSSI (0) | 8. EMILIANO COFANO (0) | 9. EVA VITTORIA CAMMERINO (0) | 10. FABIO CIPRESSA (0),comune_2021
19,37,0.15352697095435686,32,1. SABRINA ALFONSI (10) | 2. MAURIZIO VELOCCIA (6) | 3. ANDREA ALEMANNI (1) | 4. ANTONELLA MELITO (1) | 5. ANTONIO STAMPETE (1) | 6. GIAMMARCO PALMIERI (1) | 7. GIULIA TEMPESTA (1) | 8. LORENZO MARINONE (1) | 9. MARIANO ANGELUCCI (1) | 10. RICCARDO CORBUCCI (1),5,1. ALESSANDRA QUATTROCCHI (1) | 2. SIMONE SAPIENZA (1) | 3. VALERIO BONANNI (1) | 4. ALESSANDRA LATERZA (0) | 5. ANNA LODESERTO (0) | 6. CLAUDIA PRATELLI (0) | 7. DANIELA PATTI (0) | 8. DANIELE MANCINI (0) | 9. DAVIDE GROSSI (0) | 10. EMILIANO COFANO (0),comune_2021
20,57,0.13073394495412843,54,1. SABRINA ALFONSI (7) | 2. ANTONELLA MELITO (3) | 3. CARLA CONSUELO FERMARIELLO (3) | 4. FABRIZIO RUFO (3) | 5. MAURIZIO VELOCCIA (3) | 6. UBALDO RIGHETTI (2) | 7. OLIMPIA TROILI (1) | 8. PIERO SANDULLI (1) | 9. YURI TROMBETTI (1) | 10. ALESSANDRO LEPIDINI (0),3,1. CLAUDIA PRATELLI (1) | 2. ALESSANDRA LATERZA (0) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. DANIELA PATTI (0) | 6. DANIELE MANCINI (0) | 7. DAVIDE GROSSI (0) | 8. EMILIANO COFANO (0) | 9. EVA VITTORIA CAMMERINO (0) | 10. FABIO CIPRESSA (0),comune_2021
21,100,0.2066115702479339,90,1. SABRINA ALFONSI (15) | 2. YURI TROMBETTI (10) | 3. SVETLANA CELLI (4) | 4. ANDREA ALEMANNI (3) | 5. STEFANO MARONGIU (3) | 6. CLAUDIO PARAVATI (2) | 7. ELEONORA GRIMALDI (2) | 8. MARIANO ANGELUCCI (2) | 9. CARLA CONSUELO FERMARIELLO (1) | 10. CRISTINA MICHETELLI (1),10,1. FRANCESCA MARINA MORPURGO (1) | 2. FRANCESCA TOLINO (1) | 3. GIOVANNI CAUDO (1) | 4. MARIA ASSUNTA VITELLI (1) | 5. RUGGERO SCOTTI (1) | 6. SIMONE SAPIENZA (1) | 7. ALESSANDRA LATERZA (0) | 8. ALESSANDRA QUATTROCCHI (0) | 9. ANNA LODESERTO (0) | 10. CLAUDIA PRATELLI (0),comune_2021
22,93,0.19294605809128632,87,1. SABRINA ALFONSI (10) | 2. MAURIZIO VELOCCIA (5) | 3. YURI TROMBETTI (4) | 4. LORENZO MARINONE (2) | 5. MARIANO ANGELUCCI (2) | 6. ANTONIO CIANCIO (1) | 7. CLAUDIO PARAVATI (1) | 8. CRISTINA MICHETELLI (1) | 9. ERICA BATTAGLIA (1) | 10. GIOVANNI ZANNOLA (1),6,1. GIOVANNI CAUDO (1) | 2. ALESSANDRA LATERZA (0) | 3. ALESSANDRA QUATTROCCHI (0) | 4. ANNA LODESERTO (0) | 5. CLAUDIA PRATELLI (0) | 6. DANIELA PATTI (0) | 7. DANIELE MANCINI (0) | 8. DAVIDE GROSSI (0) | 9. EMILIANO COFANO (0) | 10. EVA VITTORIA CAMMERINO (0),comune_2021
23,56,0.1686746987951807,49,1. SABRINA ALFONSI (5) | 2. MAURIZIO VELOCCIA (4) | 3. MASSIMO DE SIMONI (2) | 4. NELLA CONVERTI (2) | 5. YIFAN LIN (2) | 6. YURI TROMBETTI (2) | 7. CARLA CONSUELO FERMARIELLO (1) | 8. GIULIA TEMPESTA (1) | 9. ILARIA PICCOLO (1) | 10. MARIANO ANGELUCCI (1),7,1. CLAUDIA PRATELLI (2) | 2. GIOVANNI CAUDO (2) | 3. MARTINA TESTA (1) | 4. ROSSANA BASSI (1) | 5. ALESSANDRA LATERZA (0) | 6. ALESSANDRA QUATTROCCHI (0) | 7. ANNA LODESERTO (0) | 8. DANIELA PATTI (0) | 9. DANIELE MANCINI (0) | 10. DAVIDE GROSSI (0),comune_2021
