SEZIONE,pd_votes,pd_share,top10_preferenze,tipo
78,87,0.22025316455696203,1. NASTASSJA HABDANK (6) | 2. MATTEO PIETROSANTE (5) | 3. SIMONA SORTINO (4) | 4. FEDERICA RAMPINI (3) | 5. LUIGI MAIO (3) | 6. ANTONIO COMITO (1) | 7. CESARE ALFIDI (1) | 8. FILIPPO MARIA LAGUZZI (1) | 9. LORENZO SPIZZICHINO (1) | 10. NICOLETTA FUNGHI (1),municipio3_2021
79,70,0.16908212560386474,1. NASTASSJA HABDANK (8) | 2. MATTEO PIETROSANTE (7) | 3. FILIPPO MARIA LAGUZZI (3) | 4. SIMONA SORTINO (3) | 5. FEDERICA RAMPINI (2) | 6. CESARE ALFIDI (1) | 7. FRANCESCO MANCINO (1) | 8. ITALO DELLA BELLA (1) | 9. LORENZO SPIZZICHINO (1) | 10. LUIGI MAIO (1),municipio3_2021
80,87,0.2283464566929134,1. ITALO DELLA BELLA (8) | 2. LUIGI MAIO (5) | 3. MATTEO PIETROSANTE (5) | 4. NASTASSJA HABDANK (4) | 5. SIMONA SORTINO (4) | 6. CESARE ALFIDI (2) | 7. LORENZO SPIZZICHINO (2) | 8. MARIA ANTONIETTA DEL MORO (2) | 9. NICOLETTA FUNGHI (2) | 10. PAOLA CAVALIERI (2),municipio3_2021
81,102,0.21982758620689655,1. ANTONIO COMITO (0) | 2. CESARE ALFIDI (0) | 3. FEDERICA RAMPINI (0) | 4. FILIPPO MARIA LAGUZZI (0) | 5. FRANCESCO MANCINO (0) | 6. GABRIELE CARRADORI (0) | 7. GABRIELE MICHELI (0) | 8. ITALO DELLA BELLA (0) | 9. LORENZO SPIZZICHINO (0) | 10. LUIGI MAIO (0),municipio3_2021
82,110,0.22132796780684105,1. NICOLETTA FUNGHI (11) | 2. SIMONA SORTINO (10) | 3. GABRIELE CARRADORI (6) | 4. MATTEO PIETROSANTE (4) | 5. NASTASSJA HABDANK (4) | 6. ROBERTO CASAMENTO (2) | 7. FEDERICA RAMPINI (1) | 8. FILIPPO MARIA LAGUZZI (1) | 9. LORENZO SPIZZICHINO (1) | 10. PAOLA CAVALIERI (1),municipio3_2021
83,103,0.18625678119349007,1. NICOLETTA FUNGHI (7) | 2. SIMONA SORTINO (7) | 3. NASTASSJA HABDANK (6) | 4. PAOLA CAVALIERI (6) | 5. FEDERICA RAMPINI (4) | 6. FILIPPO MARIA LAGUZZI (4) | 7. LORENZO SPIZZICHINO (4) | 8. MATTEO PIETROSANTE (4) | 9. MARIA TERESA ELLUL (2) | 10. MONICA MAGGI (2),municipio3_2021
84,112,0.24724061810154527,1. MATTEO PIETROSANTE (7) | 2. ROBERTO CASAMENTO (7) | 3. NASTASSJA HABDANK (6) | 4. FEDERICA RAMPINI (5) | 5. FILIPPO MARIA LAGUZZI (5) | 6. CESARE ALFIDI (4) | 7. LORENZO SPIZZICHINO (4) | 8. PAOLA CAVALIERI (4) | 9. SILVIA DE ROSA (3) | 10. MARIA TERESA ELLUL (2),municipio3_2021
85,115,0.1996527777777778,1. FEDERICA RAMPINI (11) | 2. FILIPPO MARIA LAGUZZI (11) | 3. NICOLETTA FUNGHI (8) | 4. LUIGI MAIO (5) | 5. CESARE ALFIDI (4) | 6. SIMONA SORTINO (4) | 7. ANTONIO COMITO (3) | 8. MATTEO PIETROSANTE (3) | 9. NASTASSJA HABDANK (2) | 10. LORENZO SPIZZICHINO (1),municipio3_2021
86,96,0.18045112781954886,1. FEDERICA RAMPINI (11) | 2. FILIPPO MARIA LAGUZZI (9) | 3. NASTASSJA HABDANK (6) | 4. LUIGI MAIO (5) | 5. MATTEO PIETROSANTE (3) | 6. NICOLETTA FUNGHI (3) | 7. SIMONA SORTINO (3) | 8. ITALO DELLA BELLA (2) | 9. MONICA MAGGI (2) | 10. ROBERTO CASAMENTO (2),municipio3_2021
87,103,0.19731800766283525,1. FEDERICA RAMPINI (8) | 2. LUIGI MAIO (3) | 3. MARIA ANTONIETTA DEL MORO (3) | 4. MARIA TERESA ELLUL (3) | 5. NASTASSJA HABDANK (3) | 6. NICOLETTA FUNGHI (3) | 7. PAOLA CAVALIERI (3) | 8. ROBERTO CASAMENTO (3) | 9. CESARE ALFIDI (2) | 10. FILIPPO MARIA LAGUZZI (2),municipio3_2021
88,102,0.22270742358078602,1. FEDERICA RAMPINI (12) | 2. FILIPPO MARIA LAGUZZI (10) | 3. NASTASSJA HABDANK (5) | 4. NICOLETTA FUNGHI (5) | 5. GABRIELE CARRADORI (4) | 6. LORENZO SPIZZICHINO (4) | 7. MATTEO PIETROSANTE (4) | 8. PAOLA CAVALIERI (4) | 9. ITALO DELLA BELLA (1) | 10. LUIGI MAIO (1),municipio3_2021
89,88,0.17054263565891473,1. MATTEO PIETROSANTE (7) | 2. FILIPPO MARIA LAGUZZI (5) | 3. ANTONIO COMITO (4) | 4. MONICA MAGGI (3) | 5. ITALO DELLA BELLA (2) | 6. SILVIA DE ROSA (2) | 7. SIMONA RUSSO (2) | 8. SIMONA SORTINO (2) | 9. CESARE ALFIDI (1) | 10. FEDERICA RAMPINI (1),municipio3_2021
90,85,0.2014218009478673,1. MATTEO PIETROSANTE (12) | 2. NASTASSJA HABDANK (9) | 3. FILIPPO MARIA LAGUZZI (6) | 4. MONICA MAGGI (6) | 5. FEDERICA RAMPINI (5) | 6. NICOLETTA FUNGHI (5) | 7. PAOLA CAVALIERI (5) | 8. LORENZO SPIZZICHINO (3) | 9. GABRIELE CARRADORI (2) | 10. ANTONIO COMITO (1),municipio3_2021
91,82,0.18222222222222223,1. LORENZO SPIZZICHINO (6) | 2. LUIGI MAIO (5) | 3. MONICA MAGGI (5) | 4. FEDERICA RAMPINI (4) | 5. FILIPPO MARIA LAGUZZI (4) | 6. PAOLA CAVALIERI (4) | 7. ANTONIO COMITO (3) | 8. ROBERTO CASAMENTO (3) | 9. NASTASSJA HABDANK (2) | 10. CESARE ALFIDI (1),municipio3_2021
92,108,0.21301775147928995,1. PAOLA CAVALIERI (12) | 2. SILVIA DE ROSA (8) | 3. CESARE ALFIDI (6) | 4. MATTEO PIETROSANTE (6) | 5. LORENZO SPIZZICHINO (5) | 6. NASTASSJA HABDANK (5) | 7. FILIPPO MARIA LAGUZZI (4) | 8. ROBERTO CASAMENTO (4) | 9. SIMONETTA ANACLERIO (3) | 10. ANTONIO COMITO (2),municipio3_2021
